Приоритетна област	Програма	Модул	Вид	Средства	Година
Сплотени училищни общности и системна работа с родителите	НП ЗАЕДНО В ГРИЖАТА ЗА УЧЕНИКА	Модул Осигуряване на условия за системно проследяване на личните постижения на учениците чрез създаване на индивидуално портфолио	Национална програма	274736	2019
Сплотени училищни общности и системна работа с родителите	НП ЗАЕДНО В ГРИЖАТА ЗА УЧЕНИКА	Модул Осигуряване на условия за екипна работа на учителите от началния етап с детски учители и с учители по учебни предмети от прогимназиалния етап	Национална програма	141455	2019
Ефективно включване, трайно приобщаване и образователна интеграция	НП СЪЗДАВАНЕ НА ДОСТЪПНА АРХИТЕКТУРНА СРЕДА И СИГУРНОСТ В УЧИЛИЩЕ	Модул Създаване на достъпна архитектурна среда	Национална програма	681730	2019
Ефективно включване, трайно приобщаване и образователна интеграция	НП СЪЗДАВАНЕ НА ДОСТЪПНА АРХИТЕКТУРНА СРЕДА И СИГУРНОСТ В УЧИЛИЩЕ	Модул Сигурност в училище	Национална програма	523836	2019
Ефективно включване, трайно приобщаване и образователна интеграция	НП ПОДПОМАГАНЕ НА ОБЩИНИТЕ ЗА РЕАЛИЗИРАНЕ НА ДЕЙНОСТИ ЗА ОБРАЗОВАТЕЛНА ДЕСЕГРЕГАЦИЯ И ПРЕВЕНЦИЯ ЗА НЕДОПУСКАНЕ НА ВТОРИЧНА СЕГРЕГАЦИЯ		Национална програма	56700	2019
Ефективно включване, трайно приобщаване и образователна интеграция	НП ОСИГУРЯВАНЕ НА СЪВРЕМЕННА ОБРАЗОВАТЕЛНА СРЕДА	Модул Осигуряване на съвременна специализирана среда в центровете за специална образователна подкрепа чрез модернизиране на материалната база за предоставяне на подкрепа за личностно развитие на децата и учениците	Национална програма	1590000	2019
Ефективно включване, трайно приобщаване и образователна интеграция	НП ЗАЕДНО ЗА ВСЯКО ДЕТЕ		Национална програма	179514	2019
Ефективно включване, трайно приобщаване и образователна интеграция	BG05M2ОP001-2.011-0001 Подкрепа за успех		Европейски програми и проекти	45590043.5	2019
Ефективно включване, трайно приобщаване и образователна интеграция	BG05M2OP001-2.018 Социално-икономическа интеграция на уязвими групи. Интегрирани мерки за подобряване достъпа до образование – Компонент 1		Европейски програми и проекти	4161787.17	2019
Ефективно включване, трайно приобщаване и образователна интеграция	BG05M20P001-3.002 Образователна интеграция на учениците от етническите малцинства и/или търсещи или получили международна закрила		Европейски програми и проекти	2460755.34	2019
Ефективно включване, трайно приобщаване и образователна интеграция	BG05M20P001-3.001 Деца в неравностойно положение		Европейски програми и проекти	647082.22	2019
Образователни иновации, дигитална трансформация и устойчиво развитие	НП ИНФОРМАЦИОННИ И КОМУНИКАЦИОННИ ТЕХНОЛОГИИ (ИКТ) В СИСТЕМАТА НА ПРЕДУЧИЛИЩНОТО И УЧИЛИЩНОТО ОБРАЗОВАНИЕ		Национална програма	10934145	2019
Образователни иновации, дигитална трансформация и устойчиво развитие	НП ИНОВАЦИИ В ДЕЙСТВИЕ	Модул Мобилност за популяризиране и мултиплициране на добри иновации между иновативни училища, публични изяви и продукти представящи обмена на иновации	Национална програма	847350	2019
Образователни иновации, дигитална трансформация и устойчиво развитие	НП ИНОВАЦИИ В ДЕЙСТВИЕ	Модул Мобилност за популяризиране и мултиплициране на добри иновации на училища, които не са в Списъка на иновативните училища	Национална програма	518000	2019
Образователни иновации, дигитална трансформация и устойчиво развитие	НП ОСИГУРЯВАНЕ НА СЪВРЕМЕННА ОБРАЗОВАТЕЛНА СРЕДА	Модул Подкрепа на целодневното обучевие на учениците	Национална програма	792982	2019
Образователни иновации, дигитална трансформация и устойчиво развитие	BG05M2ОP001-2.012-0001 Образование за утрешния ден		Европейски програми и проекти	27539245	2019
Реализация в професиите на настоящето и бъдещето	НП ОСИГУРЯВАНЕ НА СЪВРЕМЕННА ОБРАЗОВАТЕЛНА СРЕДА	Модул Модернизиране на системата на професионалното образование	Национална програма	1702149	2019
Реализация в професиите на настоящето и бъдещето	НП ОБУЧЕНИЕ ЗА ИТ КАРИЕРА		Национална програма	770000	2019
Реализация в професиите на настоящето и бъдещето	BG05M2OP001-2.006-0001 Ученически практики - фаза 1		Европейски програми и проекти	1009060.42	2019
Реализация в професиите на настоящето и бъдещето	BG05M2OP001-2.002-0001 Студентски практики - фаза 1		Европейски програми и проекти	1692252.59	2019
Учене през целия живот	BG05M2OP001-3.004 Ограмотяване на възрастни - фаза 1		Европейски програми и проекти	6751699.85	2019
Ефикасно управление и участие в мрежи	НП РОДЕН ЕЗИК И КУЛТУРА ЗАД ГРАНИЦА		Национална програма	1608446	2019
Ранно детско развитие	НП БЕЗ СВОБОДЕН ЧАС	Модул 2 - Без свободен час в детската градина	Национална програма	131454	2018
Ранно детско развитие	BG05M20P001-3.003-0001Осигуряване на условия и ресурси за изграждане и развитие на подкрепяща среда в детските градини и училищата за осъществяване на включващо обучение – Фаза 1		Европейски програми и проекти	73206.26	2018
Компетентности и таланти	НП СИСТЕМА ЗА НАЦИОНАЛНО СТАНДАРТИЗИРАНО ВЪНШНО ОЦЕНЯВАНЕ		Национална програма	3730500	2018
