Приоритетна област	Дейност	Перо	Година	Средства в лв. от националния бюджет (без национални програми)	Средства от ЕС и други международни проекти и програми в лв.
Компетентности и таланти 	"Дейност 322 ""Неспециализирани училища, без професионални гимназии"""	Стипендии (§ 40-00)	2019	14724315	1383929
Ефективно включване, трайно приобщаване и образователна интеграция	"Дейност 322 ""Неспециализирани училища, без професионални гимназии"""	Текущи трансфери, обезщетения и помощи за домакинствата (§ 42-00) 	2019	316067	141388
Ефективно включване, трайно приобщаване и образователна интеграция	"Дейност 322 ""Неспециализирани училища, без професионални гимназии"""	Субсидии и разходи за членски внос (§ 43-00, § 45-00, § 46-00)	2019	2246587	453653
Ефективно включване, трайно приобщаване и образователна интеграция	"Дейност 322 ""Неспециализирани училища, без професионални гимназии"""	Предоставени текущи и капиталови трансфери за чужбина (§ 49-00) 	2019	0	158562
Образователни иновации, дигитална трансформация и устойчиво развитие	"Дейност 322 ""Неспециализирани училища, без професионални гимназии"""	Капиталови разходи (§ 52-00, § 53-00)	2019	37654546	1632061
Ефективно включване, трайно приобщаване и образователна интеграция	"Дейност 322 ""Неспециализирани училища, без професионални гимназии"""	Капиталови разходи (§ 51-00, § 54-00, § 55-00)	2019	27865923	51238176
Мотивирани и креативни учители	"Дейност 323 ""Училища по културата и училища по изкуствата"""	Персонал (§ 01-00, § 02-00, § 05-00)	2019	34471060	86821
Компетентности и таланти 	"Дейност 323 ""Училища по културата и училища по изкуствата"""	Издръжка (§ 10-00, § 19-00)	2019	5304653	92735
Компетентности и таланти 	"Дейност 323 ""Училища по културата и училища по изкуствата"""	Стипендии (§ 40-00)	2019	1029990	0
Компетентности и таланти 	"Дейност 323 ""Училища по културата и училища по изкуствата"""	Текущи трансфери, обезщетения и помощи за домакинствата (§ 42-00) 	2019	4662	0
Компетентности и таланти 	"Дейност 323 ""Училища по културата и училища по изкуствата"""	Субсидии и разходи за членски внос (§ 43-00, § 45-00, § 46-00)	2019	336	0
Образователни иновации, дигитална трансформация и устойчиво развитие	"Дейност 323 ""Училища по културата и училища по изкуствата"""	Капиталови разходи (§ 52-00, § 53-00)	2019	539961	0
Ефективно включване, трайно приобщаване и образователна интеграция	"Дейност 323 ""Училища по културата и училища по изкуствата"""	Капиталови разходи (§ 51-00, § 54-00, § 55-00)	2019	2442	0
Мотивирани и креативни учители	"Дейност 324 ""Спортни училища"""	Персонал (§ 01-00, § 02-00, § 05-00)	2019	21919034	96422
Компетентности и таланти 	"Дейност 324 ""Спортни училища"""	Издръжка (§ 10-00, § 19-00)	2019	4047328	165547
Компетентности и таланти 	"Дейност 324 ""Спортни училища"""	Стипендии (§ 40-00)	2019	567771	0
Компетентности и таланти 	"Дейност 324 ""Спортни училища"""	Текущи трансфери, обезщетения и помощи за домакинствата (§ 42-00) 	2019	3104	0
Компетентности и таланти 	"Дейност 324 ""Спортни училища"""	Субсидии и разходи за членски внос (§ 43-00, § 45-00, § 46-00)	2019	15	0
